# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:22:31 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 485  bend2  147.94  -1000.000  1000.000  1000.000
 486  bend3  148.11  -1000.000  1000.000  1000.000
 487  bend3  148.29  -1000.000  1000.000  1000.000
 488  bend3  148.46  -1000.000  1000.000  1000.000
 489  bend3  148.64  -1000.000  1000.000  1000.000
 490  bend4  148.82  -1000.000  1000.000  1000.000
 491  sd7    149.26  -1000.000  1000.000  1000.000
 492  qp6    149.42  -1000.000  1000.000  1000.000
 493  qp6    149.58  -1000.000  1000.000  1000.000
 494  sd5    149.78  -1000.000  1000.000  1000.000
 495  sx7    149.78  -1000.000  1000.000  1000.000
 496  sd4    150.17  -1000.000  1000.000  1000.000
 497  qp7    150.40  -1000.000  1000.000  1000.000
 498  qp7    150.63  -1000.000  1000.000  1000.000
 499  sd3    150.83  -1000.000  1000.000  1000.000
 500  sx8    150.83  -1000.000  1000.000  1000.000
