# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Mon Feb 16 09:22:32 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
 211:sd5             49.70   6.062  6.449  2.413  0.112 -0.125  -5.256 11.564  1.507   6.553e-03   1.966e-03
 212:qp6             49.86   4.282  4.809  2.417  0.093 -0.107  -3.316 12.949  1.509   6.773e-03   7.714e-04
 213:qp6             50.02   2.998  3.656  2.424  0.077 -0.092  -1.000 13.646  1.511   6.799e-03  -4.450e-04
 214:sd7             50.46   1.797  1.546  2.453  0.037 -0.092  -1.064 14.554  1.516   6.603e-03  -4.450e-04
 215:bend2           50.64   1.308  1.006  2.475  0.024 -0.059  -0.817 14.837  1.518   6.504e-03  -5.664e-04
 216:bend3           50.82   0.841  0.629  2.510  0.016 -0.026  -0.836 15.127  1.520   6.405e-03  -5.664e-04
 217:bend3           50.99   0.371  0.417  2.566  0.015  0.007  -0.856 15.424  1.522   6.305e-03  -5.664e-04
 218:bend3           51.17  -0.101  0.369  2.639  0.019  0.039  -0.875 15.728  1.523   6.206e-03  -5.664e-04
 219:bend3           51.34  -0.573  0.487  2.706  0.028  0.072  -0.895 16.038  1.525   6.107e-03  -5.664e-04
 220:bend4           51.52  -1.056  0.771  2.752  0.044  0.105  -0.614 16.355  1.527   6.007e-03  -6.767e-04
 221:sd7             51.96  -2.256  2.228  2.807  0.090  0.105  -0.651 16.912  1.531   5.710e-03  -6.767e-04
 222:qp9             52.12  -3.523  3.139  2.816  0.109  0.132   3.832 16.395  1.532   5.485e-03  -2.116e-03
 223:qp9             52.28  -5.408  4.548  2.823  0.133  0.165   7.661 14.530  1.534   5.038e-03  -3.448e-03
 224:sd8             52.48  -6.737  6.977  2.829  0.166  0.165   6.839 11.630  1.537   4.348e-03  -3.448e-03
