# TRACY II v. SYNCHROTRON SOLEIL -- fmapdp.out -- Mon Feb 16 09:27:05 2004 
# nu = f(x) 
#    dp[m]         x[m]           fx            fz           dfx           dfz
-5.760000e-02  9.355143e-03 -2.676112e-01 -4.092355e-01 -3.883401e-06 -1.468888e-06
-5.760000e-02  9.575271e-03 -2.672982e-01 -4.090072e-01  2.059493e-07  5.844995e-07
-5.760000e-02  9.790450e-03 -2.669882e-01 -4.087734e-01  5.884250e-07  6.763332e-07
-5.760000e-02  1.000100e-02 -2.666769e-01 -4.085309e-01  5.884033e-07  5.337261e-07
-5.760000e-02  1.020721e-02 -2.663597e-01 -4.082730e-01 -1.605127e-07  2.962930e-06
-5.760000e-02  1.040933e-02 -2.660212e-01 -4.079837e-01 -4.230344e-06 -1.484170e-05
-5.760000e-02  1.060760e-02 -2.650664e-01 -4.072856e-01  6.640830e-04  5.757098e-04
-5.760000e-02  1.080223e-02 -2.652724e-01 -4.075608e-01 -7.943378e-05 -5.246106e-05
-5.760000e-02  1.099342e-02 -2.653704e-01 -4.074978e-01  2.086949e-04 -1.419149e-01
-5.760000e-02  1.118134e-02 -2.648951e-01 -4.070079e-01  1.411894e-05 -2.360606e-05
-5.760000e-02  1.136615e-02 -2.645597e-01 -4.067450e-01 -8.340466e-07  6.790977e-07
-5.760000e-02  1.154801e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.172704e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.190338e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.207715e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.224845e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.241739e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.258406e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.274855e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.291094e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.307132e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.322976e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.338632e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.354106e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.369406e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.384537e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.399505e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.414314e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.428969e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.443476e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.457838e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.472060e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.486146e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.500100e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.513925e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.527625e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.541204e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.554663e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.568007e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.581239e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.594361e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.607375e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.620285e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.633093e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.645801e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.658412e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.670928e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.683351e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.695682e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.707925e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.720081e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.732151e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.744137e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.756042e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.767867e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.779613e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.791282e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.802876e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.814395e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.825842e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.837217e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.848523e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.859759e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.870929e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.882032e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.893069e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.904043e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.914954e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.925803e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.936592e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.947320e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
