# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:27:02 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 509  sx6    159.21  -35.000   35.000   12.500
 510  sd3    159.41  -35.000   35.000   12.500
 511  qp7    159.64  -35.000   35.000   12.500
 512  qp7    159.87  -35.000   35.000   12.500
 513  sd4    160.26  -35.000   35.000   12.500
 514  sx5    160.26  -35.000   35.000   12.500
 515  sd5    160.46  -35.000   35.000   12.500
 516  qp6    160.62  -35.000   35.000   12.500
 517  qp6    160.78  -35.000   35.000   12.500
 518  sd7    161.22  -35.000   35.000   12.500
 519  bend2  161.40  -35.000   35.000   12.500
 520  bend3  161.57  -35.000   35.000   12.500
 521  bend3  161.75  -35.000   35.000   12.500
 522  bend3  161.92  -35.000   35.000   12.500
 523  bend3  162.10  -35.000   35.000   12.500
 524  bend4  162.27  -35.000   35.000   12.500
 525  sd7    162.71  -35.000   35.000   12.500
 526  qp4    162.87  -35.000   35.000   12.500
 527  qp4    163.03  -35.000   35.000   12.500
 528  sd8    163.23  -35.000   35.000   12.500
 529  sx3    163.23  -35.000   35.000   12.500
 530  sd9    163.71  -35.000   35.000   12.500
 531  qp5    163.87  -35.000   35.000   12.500
 532  qp5    164.03  -35.000   35.000   12.500
 533  sd10   164.50  -35.000   35.000   12.500
 534  sx4    164.50  -35.000   35.000   12.500
 535  sd12   164.97  -35.000   35.000   12.500
 536  qp5    165.13  -35.000   35.000   12.500
 537  qp5    165.29  -35.000   35.000   12.500
 538  sd9    165.77  -35.000   35.000   12.500
 539  sx3    165.77  -35.000   35.000   12.500
 540  sd8    165.97  -35.000   35.000   12.500
 541  qp4    166.13  -35.000   35.000   12.500
 542  qp4    166.29  -35.000   35.000   12.500
 543  sd7    166.73  -35.000   35.000   12.500
 544  bend2  166.90  -35.000   35.000   12.500
 545  bend3  167.08  -35.000   35.000   12.500
 546  bend3  167.25  -35.000   35.000   12.500
 547  bend3  167.43  -35.000   35.000   12.500
 548  bend3  167.60  -35.000   35.000   12.500
 549  bend4  167.78  -35.000   35.000   12.500
 550  sd6    168.57  -35.000   35.000   12.500
 551  sx2    168.57  -35.000   35.000   12.500
 552  sd5    168.77  -35.000   35.000   12.500
 553  qp3    168.93  -35.000   35.000   12.500
 554  qp3    169.09  -35.000   35.000   12.500
 555  sd14   169.68  -35.000   35.000   12.500
 556  qp2    169.91  -35.000   35.000   12.500
 557  qp2    170.14  -35.000   35.000   12.500
 558  sd3    170.34  -35.000   35.000   12.500
 559  sx1    170.34  -35.000   35.000   12.500
 560  sd2    170.73  -35.000   35.000   12.500
 561  qp1    170.89  -35.000   35.000   12.500
 562  qp1    171.05  -35.000   35.000   12.500
