# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
1.3199999999999969e+01 +9.0360363015715279e+00 +0.0000000000000000e+00 +1.3199995942019253e+01 -1.3581406268632864e-03 +0.0000000000000000e+00 +9.9999907772659369e-01
1.3299999999999969e+01 +9.0358999730551410e+00 +0.0000000000000000e+00 +1.3299995849091447e+01 -1.3684297012992175e-03 +0.0000000000000000e+00 +9.9999906369963809e-01
1.3399999999999968e+01 +9.0357626156311817e+00 +0.0000000000000000e+00 +1.3399995754755652e+01 -1.3787187783239610e-03 +0.0000000000000000e+00 +9.9999904956681362e-01
1.3499999999999968e+01 +9.0356242292993887e+00 +0.0000000000000000e+00 +1.3499995659001280e+01 -1.3890078579599800e-03 +0.0000000000000000e+00 +9.9999903532812007e-01
1.3599999999999968e+01 +9.0354848140595010e+00 +0.0000000000000000e+00 +1.3599995561817746e+01 -1.3992969402297345e-03 +0.0000000000000000e+00 +9.9999902098355742e-01
1.3699999999999967e+01 +9.0353443699112539e+00 +0.0000000000000000e+00 +1.3699995463194462e+01 -1.4095860251556814e-03 +0.0000000000000000e+00 +9.9999900653312546e-01
1.3799999999999967e+01 +9.0352028968543809e+00 +0.0000000000000000e+00 +1.3799995363120841e+01 -1.4198751127602735e-03 +0.0000000000000000e+00 +9.9999899197682418e-01
1.3899999999999967e+01 +9.0350603948886121e+00 +0.0000000000000000e+00 +1.3899995261586296e+01 -1.4301642030659612e-03 +0.0000000000000000e+00 +9.9999897731465337e-01
1.3999999999999966e+01 +9.0349168640136774e+00 +0.0000000000000000e+00 +1.3999995158580242e+01 -1.4404532960951911e-03 +0.0000000000000000e+00 +9.9999896254661291e-01
1.4099999999999966e+01 +9.0347723042292909e+00 +0.0000000000000000e+00 +1.4099995054092091e+01 -1.4507423922153141e-03 +0.0000000000000000e+00 +9.9999894767270225e-01
1.4199999999999966e+01 +9.0346267155351185e+00 +0.0000000000000000e+00 +1.4199994948111254e+01 -1.4610314917938665e-03 +0.0000000000000000e+00 +9.9999893269292062e-01
