# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Wed Mar 17 19:37:58 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
 167:sd3             40.07   6.872 13.783  2.151  0.181 -0.078  -2.305  6.422  1.097   9.907e-04   2.132e-03
 168:sx8             40.07   6.872 13.783  2.151  0.181 -0.078  -2.305  6.422  1.097   9.907e-04   2.132e-03
 169:sd2             40.46   5.508  8.955  2.157  0.151 -0.078  -2.688  8.370  1.105   1.822e-03   2.132e-03
 170:qp8             40.62   2.909  7.627  2.160  0.142 -0.038  -0.397  8.871  1.108   2.115e-03   1.510e-03
 171:qp8             40.78   0.826  7.038  2.163  0.139 -0.000   1.962  8.616  1.111   2.302e-03   8.257e-04
 172:sd13            44.26  -0.001  4.166  2.274  0.139 -0.000   0.007  1.761  1.285   5.178e-03   8.257e-04
 173:sd13            47.74  -0.827  7.050  2.384  0.139 -0.000  -1.949  8.525  1.461   8.053e-03   8.257e-04
 174:qp8             47.90  -2.915  7.641  2.388  0.142  0.038   0.385  8.779  1.464   8.015e-03  -1.293e-03
 175:qp8             48.06  -5.519  8.971  2.391  0.151  0.078   2.654  8.286  1.467   7.643e-03  -3.351e-03
 176:sd2             48.45  -6.886 13.809  2.396  0.181  0.078   2.276  6.363  1.476   6.336e-03  -3.351e-03
 177:sx8             48.45  -6.886 13.809  2.396  0.181  0.078   2.276  6.363  1.476   6.336e-03  -3.351e-03
 178:sd3             48.65  -7.587 16.703  2.398  0.197  0.078   2.082  5.492  1.481   5.665e-03  -3.351e-03
 179:qp7             48.88   1.244 18.222  2.400  0.203 -0.025  -0.676  5.181  1.488   5.206e-03  -6.845e-04
 180:qp7             49.11   9.514 15.646  2.402  0.185 -0.125  -3.762  6.163  1.494   5.344e-03   1.903e-03
 181:sd4             49.50   7.233  9.114  2.408  0.137 -0.125  -4.720  9.471  1.502   6.087e-03   1.903e-03
 182:sx7             49.50   7.233  9.114  2.408  0.137 -0.125  -4.720  9.471  1.502   6.087e-03   1.903e-03
 183:sd5             49.70   6.064  6.455  2.412  0.112 -0.125  -5.212 11.458  1.506   6.467e-03   1.903e-03
 184:qp6             49.86   4.283  4.815  2.416  0.093 -0.107  -3.291 12.832  1.508   6.678e-03   7.258e-04
 185:qp6             50.02   2.998  3.661  2.422  0.077 -0.092  -0.998 13.524  1.510   6.699e-03  -4.727e-04
 186:sd7             50.46   1.799  1.550  2.452  0.037 -0.092  -1.062 14.431  1.515   6.491e-03  -4.727e-04
 187:bend2           50.64   1.310  1.010  2.474  0.024 -0.058  -0.817 14.714  1.516   6.387e-03  -5.920e-04
 188:bend3           50.82   0.844  0.632  2.509  0.016 -0.026  -0.837 15.004  1.518   6.283e-03  -5.920e-04
 189:bend3           50.99   0.374  0.418  2.564  0.015  0.007  -0.857 15.301  1.520   6.179e-03  -5.920e-04
 190:bend3           51.17  -0.098  0.370  2.637  0.019  0.039  -0.876 15.605  1.522   6.075e-03  -5.920e-04
 191:bend3           51.34  -0.569  0.486  2.705  0.029  0.072  -0.896 15.916  1.524   5.971e-03  -5.920e-04
 192:bend4           51.52  -1.051  0.768  2.751  0.044  0.105  -0.617 16.234  1.525   5.868e-03  -6.998e-04
 193:sd7             51.96  -2.251  2.221  2.805  0.090  0.105  -0.655 16.794  1.530   5.560e-03  -6.998e-04
 194:qp9             52.12  -3.514  3.130  2.815  0.109  0.132   3.795 16.284  1.531   5.335e-03  -2.098e-03
 195:qp9             52.28  -5.394  4.536  2.822  0.133  0.165   7.598 14.434  1.533   4.894e-03  -3.389e-03
 196:sd8             52.48  -6.721  6.959  2.827  0.166  0.165   6.785 11.557  1.535   4.216e-03  -3.389e-03
 197:sx9             52.48  -6.721  6.959  2.827  0.166  0.165   6.785 11.557  1.535   4.216e-03  -3.389e-03
 198:sd9             52.95  -9.881 14.867  2.835  0.244  0.165   4.847  6.017  1.544   2.602e-03  -3.389e-03
 199:qp10            53.11  -5.420 17.357  2.836  0.265  0.085   2.717  4.827  1.549   2.111e-03  -2.770e-03
 200:qp10            53.27   0.111 18.221  2.838  0.271  0.000   1.141  4.219  1.555   1.707e-03  -2.297e-03
 201:sd8             53.47   0.100 18.179  2.839  0.271  0.000   1.033  3.785  1.563   1.248e-03  -2.297e-03
 202:sx10            53.47   0.100 18.179  2.839  0.271  0.000   1.033  3.785  1.563   1.248e-03  -2.297e-03
 203:sdac            55.38  -0.005 17.998  2.856  0.272  0.000  -0.001  1.820  1.691  -3.126e-03  -2.297e-03
 204:sdac            57.28  -0.109 18.215  2.873  0.272  0.000  -1.036  3.796  1.819  -7.501e-03  -2.297e-03
 205:sx10            57.28  -0.109 18.215  2.873  0.272  0.000  -1.036  3.796  1.819  -7.501e-03  -2.297e-03
 206:sd8             57.48  -0.120 18.261  2.875  0.272  0.000  -1.144  4.232  1.827  -7.960e-03  -2.297e-03
 207:qp10            57.64   5.424 17.398  2.876  0.265 -0.084  -2.724  4.841  1.832  -8.529e-03  -4.841e-03
 208:qp10            57.80   9.897 14.905  2.877  0.245 -0.165  -4.860  6.034  1.837  -9.522e-03  -7.632e-03
 209:sd9             58.28   6.735  6.983  2.885  0.167 -0.165  -6.802 11.589  1.846  -1.316e-02  -7.632e-03
 210:sx9             58.28   6.735  6.983  2.885  0.167 -0.165  -6.802 11.589  1.846  -1.316e-02  -7.632e-03
 211:sd8             58.48   5.407  4.554  2.890  0.134 -0.165  -7.617 14.473  1.849  -1.468e-02  -7.632e-03
 212:qp9             58.64   3.523  3.145  2.897  0.110 -0.132  -3.804 16.327  1.850  -1.558e-02  -3.543e-03
 213:qp9             58.80   2.256  2.234  2.907  0.091 -0.105   0.657 16.838  1.852  -1.581e-02   7.006e-04
 214:sd7             59.24   1.059  0.775  2.961  0.045 -0.105   0.620 16.276  1.856  -1.550e-02   7.006e-04
 215:bend2           59.41   0.577  0.491  3.006  0.029 -0.072   0.900 15.957  1.858  -1.533e-02   9.854e-04
 216:bend3           59.59   0.107  0.371  3.073  0.020 -0.039   0.880 15.645  1.859  -1.516e-02   9.854e-04
 217:bend3           59.77  -0.364  0.416  3.147  0.016 -0.007   0.860 15.339  1.861  -1.498e-02   9.854e-04
 218:bend3           59.94  -0.833  0.626  3.202  0.017  0.026   0.840 15.041  1.863  -1.481e-02   9.854e-04
 219:bend3           60.12  -1.298  1.000  3.237  0.025  0.059   0.821 14.750  1.865  -1.464e-02   9.854e-04
 220:bend4           60.29  -1.786  1.536  3.260  0.038  0.092   1.067 14.465  1.867  -1.446e-02   1.251e-03
 221:sd7             60.73  -2.983  3.634  3.290  0.078  0.092   1.002 13.555  1.872  -1.391e-02   1.251e-03
 222:qp6             60.89  -4.262  4.782  3.296  0.094  0.107   3.301 12.860  1.874  -1.352e-02   3.705e-03
 223:qp6             61.05  -6.033  6.414  3.300  0.113  0.126   5.225 11.483  1.876  -1.273e-02   6.052e-03
 224:sd5             61.25  -7.198  9.060  3.304  0.138  0.126   4.732  9.491  1.879  -1.152e-02   6.052e-03
